P-3_normalized_wavelength_nm,P-3_normalized_abs_au,D-3_310nm_normalized_wavelength_nm,D-3_310nm_normalized_abs_au,P-3_plus_2M_HCl_normalized_wavelength_nm,P-3_plus_2M_HCl_normalized_abs_au,P-3_sat_NaHCO3_normalized_wavelength_nm,P-3_sat_NaHCO3_normalized_abs_au,D-3_310nm_repeat_normalized_wavelength_nm,D-3_310nm_repeat_normalized_abs_au,P-3_plus_2M_HCl_repeat_normalized_wavelength_nm,P-3_plus_2M_HCl_repeat_normalized_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-3_310nm_raw_wavelength_nm,D-3_310nm_raw_abs_au,P-3_plus_2M_HCl_raw_wavelength_nm,P-3_plus_2M_HCl_raw_abs_au,P-3_sat_NaHCO3_raw_wavelength_nm,P-3_sat_NaHCO3_raw_abs_au,D-3_310nm_repeat_raw_wavelength_nm,D-3_310nm_repeat_raw_abs_au,P-3_plus_2M_HCl_repeat_raw_wavelength_nm,P-3_plus_2M_HCl_repeat_raw_abs_au
772.99237,0.01478,772.99237,-0.00304,772.99237,0.01455,772.99237,0.01292,772.99237,0.01045,772.99237,0.00522,772.99237,0.00249,772.99237,-5.11E-04,772.99237,0.00245,772.99237,0.00218,772.99237,0.00176,772.99237,8.78E-04
772.50122,-0.00194,772.50122,0.01074,772.50122,0.01155,772.50122,0.01501,772.50122,0.01283,772.50122,0.00927,772.50122,-3.27E-04,772.50122,0.00181,772.50122,0.00195,772.50122,0.00253,772.50122,0.00216,772.50122,0.00156
772.01001,-0.01196,772.01001,-0.00796,772.01001,-0.00555,772.01001,-0.00198,772.01001,-0.00791,772.01001,-0.01555,772.01001,-0.00201,772.01001,-0.00134,772.01001,-9.35E-04,772.01001,-3.33E-04,772.01001,-0.00133,772.01001,-0.00262
771.4837,-0.0024,771.4837,-0.00519,771.4837,-0.00218,771.4837,0.01629,771.4837,0.00304,771.4837,-0.00442,771.4837,-4.03E-04,771.4837,-8.74E-04,771.4837,-3.67E-04,771.4837,0.00274,771.4837,5.12E-04,771.4837,-7.45E-04
770.99237,-0.0103,770.99237,0.00896,770.99237,4.24E-04,770.99237,-0.00268,770.99237,0.00561,770.99237,6.27E-04,770.99237,-0.00174,770.99237,0.00151,770.99237,7.14E-05,770.99237,-4.51E-04,770.99237,9.45E-04,770.99237,1.06E-04
770.50092,-0.01152,770.50092,-0.01285,770.50092,-0.01447,770.50092,-0.00725,770.50092,-0.00915,770.50092,-0.013,770.50092,-0.00194,770.50092,-0.00216,770.50092,-0.00244,770.50092,-0.00122,770.50092,-0.00154,770.50092,-0.00219
770.00928,-0.00412,770.00928,-0.00451,770.00928,-0.00558,770.00928,1.21E-04,770.00928,-0.0048,770.00928,-0.00926,770.00928,-6.93E-04,770.00928,-7.60E-04,770.00928,-9.39E-04,770.00928,2.04E-05,770.00928,-8.09E-04,770.00928,-0.00156
769.48261,8.44E-04,769.48261,-0.00145,769.48261,0.00614,769.48261,0.00498,769.48261,0.00955,769.48261,0.00181,769.48261,1.42E-04,769.48261,-2.44E-04,769.48261,0.00103,769.48261,8.39E-04,769.48261,0.00161,769.48261,3.05E-04
768.99078,-0.0056,768.99078,-4.38E-04,768.99078,0.00604,768.99078,0.00676,768.99078,0.00888,768.99078,-6.27E-04,768.99078,-9.43E-04,768.99078,-7.37E-05,768.99078,0.00102,768.99078,0.00114,768.99078,0.0015,768.99078,-1.06E-04
768.49896,0.0012,768.49896,0.00301,768.49896,0.0161,768.49896,0.00944,768.49896,0.01368,768.49896,0.00139,768.49896,2.03E-04,768.49896,5.06E-04,768.49896,0.00271,768.49896,0.00159,768.49896,0.0023,768.49896,2.34E-04
768.00714,-0.00863,768.00714,-0.00369,768.00714,-0.00397,768.00714,0.0067,768.00714,-0.00176,768.00714,-0.0042,768.00714,-0.00145,768.00714,-6.22E-04,768.00714,-6.68E-04,768.00714,0.00113,768.00714,-2.97E-04,768.00714,-7.08E-04
767.51514,0.00466,767.51514,-0.00124,767.51514,-0.00113,767.51514,-0.00515,767.51514,0.00325,767.51514,-0.00589,767.51514,7.85E-04,767.51514,-2.09E-04,767.51514,-1.91E-04,767.51514,-8.67E-04,767.51514,5.47E-04,767.51514,-9.91E-04
766.98785,0.00958,766.98785,0.00938,766.98785,0.01214,766.98785,0.01366,766.98785,0.0146,766.98785,0.01068,766.98785,0.00161,766.98785,0.00158,766.98785,0.00204,766.98785,0.0023,766.98785,0.00246,766.98785,0.0018
766.49561,0.0114,766.49561,0.00878,766.49561,0.00569,766.49561,0.00942,766.49561,0.00464,766.49561,0.00696,766.49561,0.00192,766.49561,0.00148,766.49561,9.58E-04,766.49561,0.00159,766.49561,7.82E-04,766.49561,0.00117
766.00336,0.00126,766.00336,-0.00337,766.00336,0.00181,766.00336,0.00524,766.00336,0.00914,766.00336,0.00675,766.00336,2.12E-04,766.00336,-5.67E-04,766.00336,3.04E-04,766.00336,8.82E-04,766.00336,0.00154,766.00336,0.00114
765.51099,-0.0109,765.51099,-0.00875,765.51099,-0.00238,765.51099,-0.00561,765.51099,-0.00442,765.51099,-0.01086,765.51099,-0.00184,765.51099,-0.00147,765.51099,-4.02E-04,765.51099,-9.44E-04,765.51099,-7.44E-04,765.51099,-0.00183
764.98328,0.00234,764.98328,-0.00978,764.98328,-0.00281,764.98328,0.00434,764.98328,0.00203,764.98328,-0.00268,764.98328,3.93E-04,764.98328,-0.00165,764.98328,-4.73E-04,764.98328,7.31E-04,764.98328,3.42E-04,764.98328,-4.51E-04
764.49078,0.00237,764.49078,0.00342,764.49078,0.00562,764.49078,0.01042,764.49078,0.00691,764.49078,0.00187,764.49078,4.00E-04,764.49078,5.76E-04,764.49078,9.47E-04,764.49078,0.00176,764.49078,0.00116,764.49078,3.15E-04
763.99811,-0.00804,763.99811,-8.47E-04,763.99811,0.00324,763.99811,0.01002,763.99811,-0.00397,763.99811,-4.90E-04,763.99811,-0.00135,763.99811,-1.43E-04,763.99811,5.46E-04,763.99811,0.00169,763.99811,-6.68E-04,763.99811,-8.26E-05
763.50531,0.00513,763.50531,-0.00256,763.50531,0.00733,763.50531,0.00262,763.50531,0.00373,763.50531,0.00237,763.50531,8.64E-04,763.50531,-4.31E-04,763.50531,0.00123,763.50531,4.41E-04,763.50531,6.28E-04,763.50531,3.99E-04
763.01245,0.01076,763.01245,0.0035,763.01245,0.0113,763.01245,0.00495,763.01245,0.01481,763.01245,0.00828,763.01245,0.00181,763.01245,5.90E-04,763.01245,0.0019,763.01245,8.34E-04,763.01245,0.00249,763.01245,0.00139
762.48438,0.00746,762.48438,0.00614,762.48438,0.00549,762.48438,0.01431,762.48438,0.00365,762.48438,0.01161,762.48438,0.00126,762.48438,0.00103,762.48438,9.24E-04,762.48438,0.00241,762.48438,6.15E-04,762.48438,0.00196
761.99133,0.01322,761.99133,-5.66E-04,761.99133,0.00361,761.99133,0.01108,761.99133,0.0029,761.99133,0.00794,761.99133,0.00223,761.99133,-9.54E-05,761.99133,6.09E-04,761.99133,0.00187,761.99133,4.89E-04,761.99133,0.00134
761.49823,0.01131,761.49823,0.00628,761.49823,0.00303,761.49823,0.01447,761.49823,0.01209,761.49823,-0.00143,761.49823,0.0019,761.49823,0.00106,761.49823,5.10E-04,761.49823,0.00244,761.49823,0.00204,761.49823,-2.41E-04
761.005,0.01717,761.005,0.00519,761.005,0.00258,761.005,0.0199,761.005,0.01154,761.005,0.01063,761.005,0.00289,761.005,8.73E-04,761.005,4.35E-04,761.005,0.00335,761.005,0.00194,761.005,0.00179
760.51172,0.0082,760.51172,0.00295,760.51172,-0.0014,760.51172,0.01243,760.51172,0.00793,760.51172,-0.0011,760.51172,0.00138,760.51172,4.98E-04,760.51172,-2.36E-04,760.51172,0.00209,760.51172,0.00134,760.51172,-1.85E-04
759.98309,0.01335,759.98309,0.0094,759.98309,-0.0021,759.98309,0.00894,759.98309,0.00534,759.98309,-0.00622,759.98309,0.00225,759.98309,0.00158,759.98309,-3.53E-04,759.98309,0.00151,759.98309,8.99E-04,759.98309,-0.00105
759.48962,0.00181,759.48962,-0.00645,759.48962,-0.00302,759.48962,0.00107,759.48962,0.00673,759.48962,0.00251,759.48962,3.05E-04,759.48962,-0.00109,759.48962,-5.09E-04,759.48962,1.80E-04,759.48962,0.00113,759.48962,4.23E-04
758.99609,-0.00216,758.99609,0.01196,758.99609,0.00587,758.99609,0.01459,758.99609,0.02422,758.99609,4.98E-04,758.99609,-3.64E-04,758.99609,0.00201,758.99609,9.89E-04,758.99609,0.00246,758.99609,0.00408,758.99609,8.39E-05
758.50238,0.0036,758.50238,-0.0117,758.50238,-0.00283,758.50238,0.00566,758.50238,0.00636,758.50238,-0.00264,758.50238,6.07E-04,758.50238,-0.00197,758.50238,-4.76E-04,758.50238,9.53E-04,758.50238,0.00107,758.50238,-4.44E-04
758.00861,0.0055,758.00861,-0.0152,758.00861,-0.0036,758.00861,0.0039,758.00861,-0.00471,758.00861,-0.00999,758.00861,9.27E-04,758.00861,-0.00256,758.00861,-6.06E-04,758.00861,6.57E-04,758.00861,-7.93E-04,758.00861,-0.00168
757.51483,0.01265,757.51483,0.00362,757.51483,6.71E-04,757.51483,0.01739,757.51483,0.01107,757.51483,5.52E-04,757.51483,0.00213,757.51483,6.09E-04,757.51483,1.13E-04,757.51483,0.00293,757.51483,0.00186,757.51483,9.29E-05
756.9856,0.01048,756.9856,-5.49E-04,756.9856,0.00218,756.9856,0.01301,756.9856,0.00726,756.9856,-0.00136,756.9856,0.00176,756.9856,-9.24E-05,756.9856,3.68E-04,756.9856,0.00219,756.9856,0.00122,756.9856,-2.29E-04
756.49158,0.01478,756.49158,0.00535,756.49158,0.00673,756.49158,0.00785,756.49158,0.01121,756.49158,-7.44E-04,756.49158,0.00249,756.49158,9.01E-04,756.49158,0.00113,756.49158,0.00132,756.49158,0.00189,756.49158,-1.25E-04
755.9975,0.00169,755.9975,0.0059,755.9975,0.00991,755.9975,0.00889,755.9975,0.01051,755.9975,0.00322,755.9975,2.85E-04,755.9975,9.94E-04,755.9975,0.00167,755.9975,0.0015,755.9975,0.00177,755.9975,5.42E-04
755.5033,0.01375,755.5033,-0.00322,755.5033,0.01454,755.5033,0.01628,755.5033,0.00961,755.5033,0.00915,755.5033,0.00232,755.5033,-5.42E-04,755.5033,0.00245,755.5033,0.00274,755.5033,0.00162,755.5033,0.00154
755.00897,0.0136,755.00897,0.0111,755.00897,0.01106,755.00897,0.01379,755.00897,0.01064,755.00897,0.00309,755.00897,0.00229,755.00897,0.00187,755.00897,0.00186,755.00897,0.00232,755.00897,0.00179,755.00897,5.21E-04
