D-2_smoothed_normalized_wavelength_nm,D-2_smoothed_normalized_abs_au,P-2_smoothed_normalized_wavelength_nm,P-2_smoothed_normalized_abs_au,D-3_smoothed_normalized_wavelength_nm,D-3_smoothed_normalized_abs_au,P-3_smoothed_normalized_wavelength_nm,P-3_smoothed_normalized_abs_au,D-4_smoothed_normalized_wavelength_nm,D-4_smoothed_normalized_abs_au,P-4_smoothed_normalized_wavelength_nm,P-4_smoothed_normalized_abs_au,D-2_raw_wavelength_nm,D-2_raw_abs_au,P-2_raw_wavelength_nm,P-2_raw_abs_au,D-3_raw_wavelength_nm,D-3_raw_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au
492.50082,0.0032,492.50082,0.00519,492.48334,-0.00123,492.48334,3.38E-05,492.49884,0.01471,492.49884,0.01808,492.50082,0.00165,492.50082,0.00269,492.48334,1.83E-04,492.48334,4.16E-04,492.49884,0.01317,492.49884,0.01601
492.00714,0.00292,492.00714,0.00547,491.98953,-0.00133,491.98953,-1.95E-04,492.00531,0.01476,492.00531,0.01819,492.00714,0.00142,492.00714,0.00266,491.98953,-0.00122,491.98953,3.33E-05,492.00531,0.01316,492.00531,0.01626
491.51352,0.00292,491.51352,0.00519,491.4957,-0.00159,491.4957,-2.84E-04,491.51172,0.01476,491.51172,0.01819,491.51352,0.00156,491.51352,0.00252,491.4957,-0.00175,491.4957,-1.92E-04,491.51172,0.01302,491.51172,0.01621
490.98175,0.00292,490.98175,0.00519,491.00186,-0.00163,491.00186,-2.84E-04,491.01816,0.01476,491.01816,0.01819,490.98175,0.00126,490.98175,0.00374,491.00186,-0.00131,491.00186,-2.80E-04,491.01816,0.01315,491.01816,0.01626
490.48785,0.0032,490.48785,0.00519,490.50787,-0.00174,490.50787,-3.44E-04,490.48648,0.01476,490.48648,0.01819,490.48785,0.00198,490.48785,0.00247,490.50787,-0.00157,490.50787,-3.39E-04,490.48648,0.01321,490.48648,0.01622
489.99405,0.00358,489.99405,0.00521,490.01389,-0.0017,490.01389,-3.44E-04,489.99274,0.01482,489.99274,0.01824,489.99405,0.00924,489.99405,0.00269,490.01389,-0.00161,490.01389,-2.19E-04,489.99274,0.01425,489.99274,0.01642
489.50012,0.00406,489.50012,0.00521,489.48184,-0.00174,489.48184,-3.44E-04,489.49899,0.01498,489.49899,0.01828,489.50012,0.00174,489.50012,0.00253,489.48184,-0.00171,489.48184,-3.84E-04,489.49899,0.01351,489.49899,0.01631
489.0062,0.00358,489.0062,0.00553,488.98776,-0.0018,488.98776,-3.90E-04,489.00513,0.01516,489.00513,0.0183,489.0062,0.00212,489.0062,0.00292,488.98776,-0.00168,488.98776,-4.13E-05,489.00513,0.01355,489.00513,0.01629
488.51218,0.00335,488.51218,0.00567,488.49362,-0.0018,488.49362,-3.90E-04,488.51126,0.01501,488.51126,0.0183,488.51218,0.00207,488.51218,0.00313,488.49362,-0.00196,488.49362,-8.62E-05,488.51126,0.01335,488.51126,0.0165
488.01813,0.00335,488.01813,0.00571,487.99942,-0.0018,487.99942,-8.75E-05,488.01733,0.01501,488.01733,0.01837,488.01813,0.00163,488.01813,0.00276,487.99942,-0.00177,487.99942,-0.001,488.01733,0.0137,488.01733,0.01657
487.48599,0.00335,487.48599,0.00571,487.50519,-0.0018,487.50519,-3.24E-04,487.48541,0.01501,487.48541,0.01851,487.48599,0.00162,487.48599,0.00278,487.50519,-0.00149,487.50519,1.87E-04,487.48541,0.01338,487.48541,0.0166
486.99182,0.00335,486.99182,0.00571,487.01086,-0.00151,487.01086,-9.70E-04,486.99136,0.01501,486.99136,0.01843,486.99182,0.00181,486.99182,0.00283,487.01086,-7.59E-04,487.01086,0.00188,486.99136,0.01346,486.99136,0.01637
486.49765,0.00373,486.49765,0.00581,486.5166,-8.20E-04,486.5166,-9.70E-04,486.49725,0.01501,486.49725,0.01843,486.49765,0.00254,486.49765,0.00347,486.5166,-8.09E-04,486.5166,-3.19E-04,486.49725,0.01344,486.49725,0.01663
486.00333,0.00391,486.00333,0.00657,485.98416,-7.70E-04,485.98416,-0.00106,486.00314,0.01508,486.00314,0.01843,486.00333,0.00209,486.00333,0.00319,485.98416,-7.02E-04,485.98416,-9.56E-04,486.00314,0.01326,486.00314,0.01643
485.50903,0.00391,485.50903,0.00657,485.48975,-8.20E-04,485.48975,-0.00106,485.50894,0.01508,485.50894,0.01861,485.50903,0.00261,485.50903,0.00371,485.48975,-6.60E-04,485.48975,-0.00106,485.50894,0.01356,485.50894,0.01658
485.01471,0.00378,485.01471,0.00649,484.99518,-0.00118,484.99518,-0.00106,485.01474,0.01521,485.01474,0.01861,485.01471,0.0019,485.01471,0.00328,484.99518,-7.02E-04,484.99518,-0.00105,485.01474,0.01527,485.01474,0.01693
