P-1_temperature_C,P-1_weight_mg,P-1_weight_percent,P-2_temperature_C,P-2_weight_mg,P-2_weight_percent,P-3_temperature_C,P-3_weight_mg,P-3_weight_percent,P-4_temperature_C,P-4_weight_mg,P-4_weight_percent
44.72072,4.00503,99.97371,44.842,4.36937,99.85639,33.92263,7.96899,99.96806,47.9997,4.14189,100.06695
44.80279,4.0052,99.97796,44.92139,4.36932,99.85538,34.00709,7.96892,99.96728,48.16289,4.14144,100.05655
44.88402,4.00548,99.98497,45.00317,4.36929,99.85467,34.08867,7.96867,99.96415,48.33199,4.14121,100.05124
44.964,4.00537,99.98225,45.08256,4.36927,99.85428,34.17474,7.96837,99.96042,48.49756,4.14111,100.04881
45.04446,4.00511,99.97566,45.16422,4.36913,99.85108,34.25624,7.96837,99.96043,48.66366,4.14095,100.04508
45.12474,4.00499,99.97269,45.2457,4.36911,99.85054,34.33909,7.96879,99.9657,48.83117,4.14067,100.03879
45.20828,4.00521,99.97831,45.32562,4.36902,99.84843,34.42295,7.96908,99.96923,48.99978,4.14063,100.03773
45.28928,4.00567,99.98977,45.40566,4.36904,99.84901,34.50684,7.96905,99.96882,49.16626,4.14052,100.03532
45.36938,4.00583,99.99386,45.48698,4.36907,99.84967,34.59044,7.96899,99.96809,49.33407,4.14034,100.03098
45.45128,4.00591,99.99566,45.56652,4.36895,99.84679,34.67661,7.9691,99.96951,49.50131,4.1402,100.02774
45.53054,4.00607,99.99975,45.64539,4.36881,99.84363,34.75956,7.96921,99.97082,49.66873,4.13995,100.02192
45.61028,4.00636,100.00699,45.72582,4.36891,99.84587,34.84384,7.9693,99.97194,49.83333,4.13976,100.01773
45.69127,4.00624,100.00397,45.8057,4.36899,99.84789,34.9268,7.96917,99.97034,50.00146,4.13944,100.01015
45.77293,4.00594,99.99661,45.88783,4.36894,99.84656,35.00987,7.96904,99.96874,50.1691,4.13896,99.99898
45.85338,4.00558,99.98742,45.96668,4.36872,99.84167,35.09394,7.96892,99.96732,50.33587,4.13858,99.99027
45.93256,4.0054,99.98298,46.04788,4.36868,99.84071,35.17854,7.96881,99.96593,50.5017,4.1384,99.98605
46.01364,4.00534,99.9815,46.12878,4.36877,99.84267,35.26145,7.96864,99.96377,50.66769,4.13822,99.98197
46.0944,4.00569,99.99024,46.20822,4.36889,99.84549,35.34218,7.96854,99.96258,50.83426,4.13813,99.97986
46.17604,4.00575,99.99166,46.28612,4.36898,99.84752,35.42576,7.96869,99.96444,50.99975,4.13814,99.98019
46.25562,4.00555,99.98672,46.36658,4.36902,99.84843,35.5102,7.96884,99.96625,51.1666,4.13802,99.97736
46.33511,4.00572,99.99091,46.44762,4.36913,99.85102,35.59532,7.96887,99.96667,51.33302,4.13771,99.96999
46.41684,4.00632,100.00602,46.52966,4.36928,99.85451,35.67578,7.9688,99.96579,51.49963,4.13727,99.95979
46.49717,4.0067,100.01538,46.60986,4.36936,99.8562,35.76313,7.96875,99.96516,51.6682,4.13698,99.95314
46.5778,4.00655,100.01173,46.6893,4.36932,99.85536,35.84544,7.96859,99.9632,51.8321,4.13677,99.94832
46.65875,4.00639,100.00769,46.76824,4.36925,99.85383,35.9277,7.96863,99.96371,51.99772,4.13662,99.94482
46.73898,4.00651,100.01073,46.84912,4.3692,99.8525,36.01191,7.96868,99.96428,52.16712,4.1365,99.94202
46.81822,4.00696,100.02207,46.92981,4.36909,99.84999,36.09398,7.96859,99.9632,52.3304,4.13614,99.93367
46.89902,4.00738,100.03235,47.01164,4.36912,99.85086,36.17837,7.96856,99.96277,52.49785,4.13578,99.9254
46.982,4.00732,100.031,47.08998,4.36918,99.85218,36.26374,7.96868,99.96428,52.66168,4.13561,99.92134
47.0614,4.00682,100.01852,47.17143,4.36911,99.85054,36.3475,7.96889,99.96689,52.82868,4.1355,99.91884
47.14,4.00663,100.01378,47.25162,4.36911,99.85047,36.432,7.96915,99.97009,52.9958,4.13535,99.91541
47.22094,4.00701,100.02314,47.32857,4.3692,99.85268,36.5135,7.96933,99.9723,53.1615,4.13507,99.90902
47.29933,4.00718,100.02741,47.40943,4.36927,99.8541,36.59985,7.96926,99.97149,53.32472,4.13467,99.89956
47.38309,4.00669,100.01523,47.49,4.36935,99.85595,36.6801,7.96918,99.97041,53.49213,4.13439,99.89319
47.46279,4.0061,100.00045,47.57093,4.36942,99.85767,36.76494,7.96926,99.9714,53.6591,4.1342,99.88888
47.54348,4.00608,100.00012,47.6537,4.36933,99.85552,36.84556,7.96946,99.97388,53.823,4.13418,99.88825
47.62298,4.00651,100.01073,47.73214,4.36924,99.85355,36.93059,7.96953,99.97475,53.98716,4.13391,99.88204
47.70269,4.00687,100.0196,47.81439,4.36911,99.85063,37.01361,7.96924,99.97126,54.15418,4.13376,99.87849
47.78546,4.00698,100.02247,47.89615,4.36913,99.85106,37.09746,7.96897,99.96787,54.3185,4.13373,99.87782
47.86484,4.00681,100.01815,47.97662,4.36912,99.85077,37.18,7.96879,99.96567,54.48526,4.13352,99.87309
47.94619,4.00656,100.01201,48.0554,4.36896,99.84715,37.26168,7.96881,99.96595,54.65184,4.13333,99.86862
48.02643,4.00673,100.01613,48.13675,4.3689,99.84569,37.34408,7.96876,99.96531,54.81463,4.13319,99.86545
48.1075,4.007,100.02292,48.21688,4.36896,99.84713,37.4287,7.96859,99.96315,54.98378,4.13294,99.85965
48.18511,4.00692,100.02087,48.2957,4.36912,99.85067,37.51083,7.96852,99.96238,55.14521,4.1327,99.85404
48.26742,4.00626,100.00444,48.37803,4.36923,99.85326,37.59554,7.96876,99.9653,55.31132,4.13241,99.84739
48.34821,4.00572,99.99099,48.45654,4.36935,99.85607,37.67708,7.96891,99.96708,55.4728,4.13226,99.84389
48.42996,4.00584,99.99398,48.53668,4.36934,99.85577,37.7594,7.96889,99.9669,55.63816,4.13209,99.83991
48.50761,4.00621,100.00327,48.61808,4.36936,99.85616,37.8437,7.96875,99.96514,55.80371,4.13183,99.8339
48.58906,4.00631,100.00569,48.69872,4.36939,99.85682,37.9275,7.9687,99.96455,55.96994,4.13171,99.83105
48.67003,4.00614,100.0015,48.77961,4.36948,99.85895,38.01052,7.96876,99.96524,56.13206,4.13159,99.82827
48.74983,4.00602,99.99855,48.85873,4.3695,99.85945,38.09133,7.96894,99.96756,56.2974,4.1313,99.82153
48.82936,4.0063,100.00542,48.94026,4.36945,99.85826,38.17395,7.96903,99.96864,56.45855,4.13123,99.81998
