P-3_conc_1_wavelength_nm,P-3_conc_1_abs_au,P-3_conc_2_wavelength_nm,P-3_conc_2_abs_au,P-3_conc_3_wavelength_nm,P-3_conc_3_abs_au,P-3_conc_4_wavelength_nm,P-3_conc_4_abs_au,P-3_conc_5_wavelength_nm,P-3_conc_5_abs_au,P-3_conc_1_em_wavelength_nm,P-3_conc_1_em_intensity,P-3_conc_2_em_wavelength_nm,P-3_conc_2_em_intensity,P-3_conc_3_em_wavelength_nm,P-3_conc_3_em_intensity,P-3_conc_4_em_wavelength_nm,P-3_conc_4_em_intensity,P-3_conc_5_em_wavelength_nm,P-3_conc_5_em_intensity,2-AP_conc_1_wavelength_nm,2-AP_conc_1_abs_au,2-AP_conc_2_wavelength_nm,2-AP_conc_2_abs_au,2-AP_conc_3_wavelength_nm,2-AP_conc_3_abs_au,2-AP_conc_4_wavelength_nm,2-AP_conc_4_abs_au,2-AP_conc_5_wavelength_nm,2-AP_conc_5_abs_au,2-AP_conc_1_em_wavelength_nm,2-AP_conc_1_em_intensity,2-AP_conc_2_em_wavelength_nm,2-AP_conc_2_em_intensity,2-AP_conc_3_em_wavelength_nm,2-AP_conc_3_em_intensity,2-AP_conc_4_em_wavelength_nm,2-AP_conc_4_em_intensity,2-AP_conc_5_em_wavelength_nm,2-AP_conc_5_em_intensity,ACN_em_background_wavelength_nm,ACN_em_background_intensity
782.5043945,-0.00053706,782.5043945,-0.000749373,782.5043945,-0.000172418,782.5043945,-0.001766691,782.5043945,0.002364247,327.5,2.81E+03,327.5,2.80E+03,327.5,3.27E+03,327.5,3.69E+03,327.5,3.04E+03,582.5184937,-0.000566636,582.5184937,0.00022682,582.5184937,-0.001156132,582.5184937,-0.001498797,582.5184937,-0.000494813,327.5,4.88E+05,327.5,4.51E+05,327.5,3.61E+05,327.5,2.70E+05,327.5,1.59E+05,327.5,2.10E+03
782.0152588,-0.001437551,782.0152588,-0.003175649,782.0152588,6.32E-05,782.0152588,-0.002265316,782.0152588,0.001345045,328,3.10E+03,328,3.02E+03,328,3.62E+03,328,3.80E+03,328,3.09E+03,581.9970093,0.000153764,581.9970093,0.000671068,581.9970093,-0.000470352,581.9970093,-0.00059104,581.9970093,0.000221951,328,4.99E+05,328,4.62E+05,328,3.70E+05,328,2.77E+05,328,1.63E+05,328,2.36E+03
781.4910889,-0.003001231,781.4910889,-0.003692886,781.4910889,-0.000299346,781.4910889,-0.001888412,781.4910889,0.001033146,328.5,3.25E+03,328.5,3.17E+03,328.5,3.63E+03,328.5,3.87E+03,328.5,3.13E+03,581.5125122,-0.00036339,581.5125122,-3.50E-05,581.5125122,-0.001151175,581.5125122,-0.001108987,581.5125122,-0.000701306,328.5,5.09E+05,328.5,4.70E+05,328.5,3.76E+05,328.5,2.82E+05,328.5,1.65E+05,328.5,2.58E+03
781.00177,0.000471458,781.00177,-0.001153034,781.00177,-6.29E-05,781.00177,-0.00086275,781.00177,0.003462998,329,3.28E+03,329,3.09E+03,329,3.44E+03,329,3.81E+03,329,3.03E+03,580.9907837,-0.000315849,580.9907837,0.000128543,580.9907837,-0.001254742,580.9907837,-0.001054039,580.9907837,-0.000203209,329,5.21E+05,329,4.81E+05,329,3.84E+05,329,2.86E+05,329,1.67E+05,329,2.22E+03
780.5123291,-0.000542438,780.5123291,-0.003101428,780.5123291,-0.000794697,780.5123291,-0.001698985,780.5123291,0.00165366,329.5,2.97E+03,329.5,3.00E+03,329.5,3.37E+03,329.5,3.66E+03,329.5,2.72E+03,580.5062256,-0.00073423,580.5062256,0.000156587,580.5062256,-0.000971758,580.5062256,-0.000832833,580.5062256,4.44E-05,329.5,5.27E+05,329.5,4.88E+05,329.5,3.90E+05,329.5,2.92E+05,329.5,1.71E+05,329.5,1.90E+03
779.987793,-0.00073392,779.987793,-0.001392295,779.987793,0.000185254,779.987793,-0.000532407,779.987793,0.002322241,330,2.82E+03,330,2.59E+03,330,3.13E+03,330,3.15E+03,330,2.41E+03,579.984375,1.72E-05,579.984375,0.000738585,579.984375,-0.000696292,579.984375,-0.000403685,579.984375,-0.00010938,330,5.36E+05,330,4.95E+05,330,3.95E+05,330,2.96E+05,330,1.74E+05,330,1.48E+03
779.49823,-0.000801208,779.49823,-0.002743667,779.49823,0.000699614,779.49823,-0.002227615,779.49823,0.001763147,330.5,2.59E+03,330.5,2.46E+03,330.5,2.82E+03,330.5,2.92E+03,330.5,1.98E+03,579.4996948,-0.000460629,579.4996948,0.000574531,579.4996948,-0.001012978,579.4996948,-0.000830404,579.4996948,-0.00041734,330.5,5.42E+05,330.5,5.03E+05,330.5,4.01E+05,330.5,3.00E+05,330.5,1.75E+05,330.5,1.24E+03
779.0085449,-0.000927332,779.0085449,-0.000287601,779.0085449,-1.04E-05,779.0085449,-0.002347867,779.0085449,0.0018084,331,2.49E+03,331,2.27E+03,331,2.67E+03,331,2.76E+03,331,1.95E+03,579.0149536,0.000100164,579.0149536,0.000342425,579.0149536,-0.000859753,579.0149536,-0.000584784,579.0149536,5.55E-05,331,5.50E+05,331,5.08E+05,331,4.05E+05,331,3.05E+05,331,1.79E+05,331,8.84E+02
778.4837036,-0.001377122,778.4837036,-0.002596095,778.4837036,-0.000567515,778.4837036,-0.00117472,778.4837036,0.002284533,331.5,2.70E+03,331.5,2.46E+03,331.5,2.49E+03,331.5,2.76E+03,331.5,1.88E+03,578.4929199,0.000147627,578.4929199,0.00051821,578.4929199,-0.000831903,578.4929199,-0.000745342,578.4929199,-0.000117765,331.5,5.56E+05,331.5,5.15E+05,331.5,4.12E+05,331.5,3.09E+05,331.5,1.80E+05,331.5,7.76E+02
777.9937744,-0.000583492,777.9937744,-0.00218208,777.9937744,0.000737444,777.9937744,-0.001460719,777.9937744,0.001808218,332,2.74E+03,332,2.59E+03,332,2.78E+03,332,2.93E+03,332,1.86E+03,578.0081177,0.000287093,578.0081177,0.000528913,578.0081177,-0.000948564,578.0081177,-0.000929553,578.0081177,0.000289605,332,5.62E+05,332,5.20E+05,332,4.15E+05,332,3.12E+05,332,1.82E+05,332,7.84E+02
